identity	smoothness	orientation	marker
003_DoMa	[-2.866, -4.135, -1.504, -1.493, -1.516, -1.556, -2.005, -2.148, -1.608, -1.94, -2.178, -1.668]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
002_BaEl	[-3.679, -4.241, -1.846, -1.988, 0, 0, 0, 0, -3.025, -2.627, -2.18, -1.687]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
004_LoJu	[-3.397, -3.966, -1.708, -1.542, -1.946, -1.896, -2.776, -2.859, -2.233, -2.226, -2.036, -2.194]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
005_LuWi	[-6.008, -6.852, -2.102, -2.124, -1.635, -1.738, -2.877, -2.756, -3.277, -2.311, -2.978, -2.642]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
006_ReCo	[-3.698, -5.05, -2.104, -2.074, -1.879, -1.785, -3.578, -6.957, -2.351, -1.998, -3.587, -5.701]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
007_AmVi	[-5.119, -6.488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
008_GuEm	[-2.202, -3.622, -1.68, -1.572, -1.537, -1.529, -1.462, -1.673, -1.826, -2.017, -3.223, -2.004]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
009_ChCl	[-2.544, -4.113, -1.574, -1.611, -2.25, -2.127, -2.13, -1.853, -1.772, -1.679, -2.713, -4.251]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
010_AnKo	[-5.385, -5.862, -1.557, -1.602, -1.516, -1.687, -2.336, -2.071, -2.003, -4.117, -3.446, -2.77]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
011_YaJu	[-4.282, -5.906, -1.61, -1.579, -2.056, -2.025, -2.53, -2.727, -6.961, -3.091, -3.236, -5.411]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
