identity	smoothness	orientation	marker
012_PaMa	[-1.587, -1.533, -1.963, -1.872, -2.17, -2.111, -3.076, -3.251, -3.403, -3.719, -2.605, -2.16]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
013_SaCl	[-1.605, -2.305, -1.438, -1.45, -1.645, -1.583, -3.72, -4.329, -1.698, -2.183, -3.299, -4.127]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
014_MoLu	[-3.348, -3.819, -1.604, -1.797, 0, 0, -1.947, -1.731, -4.786, -3.484, -4.255, -4.621]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
015_LaJu	[-1.522, -1.672, -1.535, -1.571, -2.181, -2.142, -2.946, -2.457, -2.436, -2.494, -3.435, -6.474]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
016_LaCh	[-1.727, -2.423, -1.501, -1.512, -1.64, -2.251, -2.274, -3.016, -1.743, -2.981, -3.24, -4.82]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
017_GoMa	[-5.511, -9.939, -1.777, -1.752, -1.584, -1.59, -3.556, -3.394, -1.596, -1.534, -3.209, -2.947]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
018_FaFr	[-3.879, -5.507, -2.207, -2.16, -1.905, -2.122, -2.624, -3.038, -2.366, -3.155, -2.066, -3.762]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
019_GuAl	[-3.215, -3.663, -1.524, -1.548, -2.321, -2.177, -3.327, -2.535, -2.204, -2.311, -3.521, -2.774]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
020_PlSi	[-3.525, -4.55, -1.515, -1.574, -1.864, -1.875, -2.688, -2.895, -1.928, -2.278, -3.586, -3.226]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
021_GuGi	[-6.001, -9.957, -1.831, -1.777, 0, 0, 0, 0, 0, 0, 0, 0]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
022_DrGe	[-1.51, -1.629, -1.937, -1.909, -1.407, -1.435, -3.095, -3.417, -1.675, -1.989, -2.421, -3.057]	['back', 'back', 'go', 'go', 'back', 'back', 'go', 'go']	['T8 z', 'Right Hand z', 'T8 z', 'Right Hand z', 'Right Hand x', 'T8 x', 'Right Hand x', 'T8 x']
